INLINE PersonalDataTable,First Like,Second Like,First Disike,Second Dislike,Age,Height,Generation
0x2E Lui,BotanSkill1,BotanSkill1,BotanSkill1,BotanSkill1,MumeiAge,MumeiHeight,Gen6
0x2F Laplus,BotanSkill1,BotanSkill1,BotanSkill1,BotanSkill1,MumeiAge,MumeiHeight,Gen6
0x30 Anya,BotanSkill1,BotanSkill1,BotanSkill1,BotanSkill1,MumeiAge,MumeiHeight,IDsecond
0x31 Kobo,BotanSkill1,BotanSkill1,BotanSkill1,BotanSkill1,MumeiAge,MumeiHeight,IDthird
0x32 Zeta,ZetaLike1,ZetaLike2,ZetaSkill1,ZetaSkill2,RedactedAgeID,ZetaHeight,IDthird
0x33 Kaela,BotanSkill1,BotanSkill1,BotanSkill1,BotanSkill1,MumeiAge,MumeiHeight,IDthird
0x34 Iroha,BotanSkill1,BotanSkill1,BotanSkill1,BotanSkill1,MumeiAge,MumeiHeight,Gen6
0x35 Koyori,BotanSkill1,BotanSkill1,BotanSkill1,BotanSkill1,MumeiAge,MumeiHeight,Gen6
0x36 Sana,BotanSkill1,BotanSkill1,BotanSkill1,BotanSkill1,MumeiAge,MumeiHeight,EnCouncil
0x37 Ayame,BotanSkill1,BotanSkill1,BotanSkill1,BotanSkill1,MumeiAge,MumeiHeight,Gen2
0x38 Kronii,BotanSkill1,BotanSkill1,BotanSkill1,BotanSkill1,MumeiAge,MumeiHeight,EnCouncil
0x39 Kurokami,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Lyon's Summon,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Knoll's Summon,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Ewan's Summon,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Lyon (Ch 17),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Morva (Ch 20),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Orson (Ch 5x),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Valter (Ch 15),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Selena (Ch 10B & 13B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Valter (Prologue),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Breguet (Ch 1),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Bone (Ch 2),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Bazba (Ch 3),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Entombed (Ch 4),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Saar (Ch 5),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Novala (Ch 6),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Murray (Ch 7),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Tirado (Ch 8),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Binks (Ch 9A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Pablo (Ch 10A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Maelduin (Ch 12A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Aias (Ch 13A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Carlyle (Ch 14A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Caellach (Ch 15),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Pablo (Ch 13A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Gorgon (Ch 18),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Riev (Ch 19 & 20),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Gheb (Ch 9B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Beran (Ch 10B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Cyclops (Ch 12B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Wight (Ch 11A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Deathgoyle (Ch 11B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Entombed (Monster Boss),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Hunter (Ch 16),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Brigand,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
O'Neill (Prologue),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Glen (Cutscene),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Zonta (Ch 5x),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Vigarde (Ch 14B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Lyon (Ch Final),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Orson (Ch 16),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier (Special),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 1 (Normal),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 2,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 4,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 5,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 6,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 7,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 8,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 9,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 10 (Duessel's),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 11 (Duessel's),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 12 (Duessel's),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 13,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Remnant 1 (Main),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Cutthroat,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Remnant 2 (Cutscene and C16 only?),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Remnant 3 (C16 only?),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Remnant 4 (C16 only?),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Wraith (Sage),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Wraith (Swords),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Wraith (Axes),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Mercenary (C9A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Mercenary (C10A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Merc Remnant (C13A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Demon King,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Frelian,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Frelian,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Fado (Renais),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Hayden (Frelia),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Mansel (Rausten),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Klimt (Carcino),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Dara (Caer Pelyn),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Ismaire (Jehanna),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Pegasus Messenger,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Rausten Knight,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Rausten Knight,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
(Untested Beyond this point),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
